tokenizer_name,language,region,fertility,compression_ratio,byte_fallback_rate,unknown_rate,vocab_coverage,roundtrip_pass_rate,avg_tokens_per_sent,total_tokens,total_words,total_chars,total_sentences
LLM-jp-3-13B,Japanese,East Asia,25.627,2.055,0.0,0.0,71.3,100.0,27.37,27703,1081,56943,1012
Gemma-4,Korean,East Asia,2.415,1.77,0.07,0.0,99.35,100.0,36.83,37268,15430,65965,1012
BLOOM,Korean,East Asia,4.887,0.875,22.1,0.0,19.36,100.0,74.52,75412,15430,65965,1012
Polyglot-Ko-12B,Korean,East Asia,2.199,1.944,0.13,0.0,93.26,100.0,33.53,33933,15430,65965,1012
Gemma-4,Vietnamese,SEA,1.21,3.727,0.18,0.0,100.0,100.0,36.75,37189,30725,138595,1012
BLOOM,Vietnamese,SEA,1.128,3.998,0.02,0.0,100.0,100.0,34.26,34670,30725,138595,1012
Arcee-VyLinh-3B,Vietnamese,SEA,1.29,3.496,0.89,0.0,100.0,100.0,39.17,39643,30725,138595,1012
Gemma-4,Thai,SEA,10.084,2.906,0.0,0.0,100.0,100.0,42.88,43393,4303,126109,1012
BLOOM,Thai,SEA,29.119,1.006,11.86,0.0,81.48,100.0,123.81,125297,4303,126109,1012
Typhoon2-7B,Thai,SEA,16.315,1.796,2.35,0.0,98.77,100.0,69.37,70202,4303,126109,1012
Gemma-4,Indonesian,SEA,1.575,4.562,0.0,0.0,100.0,100.0,30.83,31196,19811,142318,1012
BLOOM,Indonesian,SEA,1.333,5.39,0.0,0.0,99.03,100.0,26.09,26404,19811,142318,1012
Nusantara-7B,Indonesian,SEA,2.146,3.347,0.62,0.0,100.0,100.0,42.02,42520,19811,142318,1012
Gemma-4,Malay,SEA,1.632,4.437,0.0,0.0,100.0,100.0,32.56,32954,20188,146201,1012
BLOOM,Malay,SEA,1.444,5.014,0.0,0.0,100.0,100.0,28.81,29160,20188,146201,1012
MaLLaM-5B,Malay,SEA,1.417,5.109,0.04,0.0,84.76,100.0,28.28,28616,20188,146201,1012
Gemma-4,Tagalog,SEA,1.84,3.374,0.0,0.0,99.07,100.0,48.66,49245,26769,166169,1012
BLOOM,Tagalog,SEA,1.895,3.275,0.02,0.0,98.15,100.0,50.13,50736,26769,166169,1012
Gemma-4,Burmese,SEA,6.136,2.499,0.0,0.0,100.0,100.0,64.52,65295,10642,163169,1012
